id,paragraph,problems,question_plus
2025-나-01,"고래 잡는 사람, 호랑이, 사슴, 물을 뿜고 있는 고래, 작살이 꽂혀 있는 고래 등이 바위에 묘사되어 있다. 당시 이 지역 사람들의 생활 모습과 신앙, 예술 세계를 이해하는 데 중요한 자료이며 국보로 지정되어 있다.","{'question': '다음 설명에 해당하는 문화유산은?', 'choices': ['고령 장기리 암각화', '황해 안악3호분 행렬도', '경주 천마총 장니 천마도', '울주 대곡리 반구대 암각화'], 'answer': 4}",
2025-나-02,"(가) 은/는 원래 여진족과 왜구의 침입에 대비하기 위해 만든 임시회의 기구였다. 임진왜란을 거치면서 전·현직 정승을 비롯한 주요 관원이 참여하였고, 군사 문제뿐 아니라 외교, 재정, 인사 등 국정 전반을 다루었다. 이로 인해 의정부와 6조의 기능이 축소되었다.","{'question': '(가)에 해당하는 기구는?', 'choices': ['비변사', '삼군부', '상서성', '집사부'], 'answer': 1}",
2025-나-03,"이 나라는 고구려의 옛 땅이다.... (중략)... 곳곳에 촌락이 있는데 모두 말갈의 부락이다. 그 백성은 말갈이 많고 토인 (土人)이 적은데, 모두 토인을 촌장으로 삼는다. - 유취국사』 -","{'question': ""밑줄 친 '이 나라'에 대한 설명으로 옳은 것은?"", 'choices': ['골품제를 실시하였다.', '군사조직으로 9서당 10정을 두었다.', '영락이라는 독자적인 연호를 사용하였다.', '지방 행정 구역을 5경 15부 62주로 나누었다.'], 'answer': 4}",
2025-나-04,○ 우리 풍토에 맞는 농서인 '농사직설을 편찬하였다. ○ 최윤덕과 김종서를 파견하여 4군 6진을 개척하였다.,"{'question': '다음 업적이 있는 왕의 재위 기간에 볼 수 있는 모습은?', 'choices': ['송파장에 담배를 사려고 나온 농민', '금난전권 폐지에 항의하는 시전 상인', '전분6등법을 처음 시행하기 위해 찬반 의견을 묻는 관료', '천주교 신자가 되어 어머니 제사를 거부하는 유생'], 'answer': 3}",
2025-나-05,왕이 신돈에게 국정을 맡겼다. 신돈은 힘있는 자들이 나라의 토지와 약한 자들이 토지를 모두 빼앗고 양민을 자신들의 노비로 삼고 있는 현실을 지적하였다. 그리고 관청을 만들어 그 문제를 개혁하려고 했다.,"{'question': ""밑줄 친 '왕'의 재위 기간에 있었던 사실로 옳은 것은?"", 'choices': ['사심관 제도를 실시하였다.', '정동행성 이문소를 폐지하였다.', '광덕, 준풍 등의 연호를 사용하였다.', '최승로의 시무 28조 건의를 수용하였다.'], 'answer': 2}",
2025-나-06,○ 이곳의 고인돌 유적은 유네스코 세계문화유산에 등재되었다. ○ 고려 정부는 이곳으로 천도하여 몽골의 침략에 대항하였다.,"{'question': ""밑줄 친 '이곳'에 대한 설명으로 옳은 것은?"", 'choices': ['장보고가 청해진을 설치하였다.', '정묘호란으로 인조가 피신하였다.', '원나라가 탐라총관부를 두었다.', '영국군이 러시아를 견제한다는 구실로 주둔하였다.'], 'answer': 2}",
2025-나-07,"개항 이후 정세 변화에 대응하여 개혁을 추진하기 위해 설립된 기구로 외교, 군사 등 개화와 관련된 정책을 총괄하였다. 또한 그 아래 12사를 두어 실무를 담당하게 하였다.","{'question': '다음 설명에 해당하는 기구는?', 'choices': ['교정청', '삼정이정청', '군국기무처', '통리기무아문'], 'answer': 4}",
2025-나-08,"노비 만적 등 6인이 개경의 북산에서 나무하다가 공노비와 사노비들을 불러 모의하기를, ""정중부의 반란과 김보당의 반란 이후로 고관이 천민과 노비에서 많이 나왔다. 장상(將相)의 씨가 따로 있으랴!""라고 하였다.","{'question': '다음 사건 발생 이후에 있었던 사실로 옳은 것은?', 'choices': ['정방 설치', '동북 9성 축조', '노비안검법 실시', '상수리 제도 시행'], 'answer': 1}",
2025-나-09,그는 양반전』을 지어 양반 사회의 허위의식을 고발하였다. 그는 상공업 진흥에도 관심을 기울여 수레와 선박의 이용 등에 대해서도 주목하였다.,"{'question': ""밑줄 친 '그'에 대한 설명으로 옳은 것은?"", 'choices': ['효종의 북벌 운동을 지지하였다.', '『과농소초』에서 한전제를 주장하였다.', '화성 건설을 위해 거중기를 설계하였다.', '우리 역사를 체계화한 동사강목』을 저술하였다.'], 'answer': 2}",
2025-나-10,○ 김흠돌의 난을 계기로 진골 귀족 세력 등을 숙청하였다. ○ 녹읍을 폐지하여 귀족의 경제적 기반을 약화하고자 하였다.,"{'question': '다음 사실이 있었던 왕대의 설명으로 옳은 것은?', 'choices': ['국학을 설립하였다.', '불교를 공인하였다.', '독서삼품과를 시행하였다.', '이사부를 보내 우산국을 정벌하였다.'], 'answer': 1}",
2025-나-11,"(가) 왕이 보병과 기병 5만 명을 보내 신라를 구원하게 하였고, 이에 왜군이 퇴각하였다. (나) 백제 왕이 가야와 함께 관산성을 공격하였다. 신주군주 김무력이 나아가 교전을 벌였고, 비장인 도도가 백제 왕을 죽였다.","{'question': '(가), (나) 사이 시기에 있었던 사실로 옳은 것은?', 'choices': ['고구려가 낙랑군을 몰아냈다.', '신라가 금관가야를 병합하였다.', '고구려가 안시성에서 당군을 물리쳤다.', '백제가 평양성에서 고국원왕을 전사시켰다.'], 'answer': 2}",
2025-나-12,"남만주로 집단 이주하려고 기도하고, 조선에서 상당한 재력이 있는 사람들을 그곳에 이주시켜 토지를 사들이고 촌락을 세워, ...(중략)... 학교를 세워 민족 교육을 실시하고, 무관학교를 설립하여 문무를 겸하는 교육을 실시하면서, 기회를 엿보아 독립 전쟁을 일으켜 구한국의 국권을 회복하려고 하였다. 「105인 사건 판결문」","{'question': '다음 자료를 통해 알 수 있는 단체에 대한 설명으로 옳은 것은?', 'choices': ['만민공동회를 개최하였다.', '민립대학 설립 운동을 추진하였다.', '비밀결사의 형태로 활동을 전개하였다.', '광주학생항일운동이 일어나자 진상조사단을 파견하였다.'], 'answer': 3}",
2025-나-13,"영의정 이원익은 공물 제도가 방납인에 의한 폐단이 크며, 경기도가 특히 심하다고 생각하였다. 그래서 별도의 관청을 만들어 경기 지역 백성들에게 봄과 가을에 토지 1결마다 8두씩 쌀로 거두고, 이것을 방납인에게 주어 수시로 물품을 구입하여 납부하게 하자고 왕에게 건의하였다. 왕은 그 의견을 받아들였다.","{'question': ""밑줄 친 '왕'의 재위 기간에 있었던 사실로 옳은 것은?"", 'choices': ['삼수병으로 구성된 훈련도감을 설치하였다.', '조광조 등 사림을 등용하여 훈구세력을 견제하였다.', '유능한 관료를 재교육하는 초계문신 제도를 시행하였다.', '일본과 제한된 범위의 무역을 허용하는 기유약조를 맺었다.'], 'answer': 4}",
2025-나-14,"이 개혁에 따라 의정부를 내각으로, 8아문을 7부로 고쳤다. 또한 지방 8도는 23부로 개편하였다.","{'question': ""밑줄 친 '이 개혁'의 내용으로 옳은 것은?"", 'choices': ['외국어 통역관 양성을 위한 동문학을 세웠다.', '미국인 교사를 초빙한 육영공원을 창립하였다.', '교원양성을 위해 한성사범학교 관제를 발표하였다.', '상공학교와 광무학교 등의 실업학교를 설립하였다.'], 'answer': 3}",
2025-나-15,백제는 5세기 고구려의 공격으로 한강 유역을 상실하면서 수도가 함락되어 이 지역으로 도읍을 옮겼다.,"{'question': ""밑줄 친 '이 지역'에 있는 문화유산은?"", 'choices': ['몽촌토성', '무령왕릉', '미륵사지 석탑', '용현리 마애여래삼존상'], 'answer': 2}",
2025-나-16,"이 지역에서 권업회라는 독립운동 단체가 조직되었고, 권업회는 국외 무장 독립 단체들을 모아 대한 광복군 정부라는 독립군 조직을 만들었다.","{'question': ""밑줄 친 '이 지역'에 대한 설명으로 옳은 것은?"", 'choices': ['동제사가 창립되었다.', '경학사가 조직되었다.', '한인촌인 신한촌이 형성되었다.', '대조선 국민 군단이 창설되었다.'], 'answer': 3}",
2025-나-17,"그는 문종의 넷째 아들인데, 출가하여 승려가 되었다. 송나라로 유학을 가서 화엄학과 천태학을 공부하였다. 이후 천태학을 부흥시켜 천태종을 창립하였다.","{'question': ""밑줄 친 '그'에 대한 설명으로 옳은 것은?"", 'choices': ['유 불 일치설을 주장하였다.', '백련사에서 결사를 조직하였다.', '정혜쌍수의 수행법을 제시하였다.', '신편제종교장총록』을 편찬하였다.'], 'answer': 4}",
